rent_euro,year,half,half_year,time_period,county,province,area,location,property_type,bedrooms,bedrooms_num,is_dublin,is_city,is_county_aggregate
2045.46,2024,1,2024H1,9,Dublin,Leinster,Dublin,Dublin,All property types,All bedrooms,,True,True,True
1443.79,2024,1,2024H1,9,Galway,Connacht,Galway,Galway,All property types,All bedrooms,,False,False,True
1046.65,2024,1,2024H1,9,Kerry,Munster,Kerry,Kerry,All property types,All bedrooms,,False,False,True
1563.9,2024,1,2024H1,9,Kildare,Leinster,Kildare,Kildare,All property types,All bedrooms,,False,False,True
1099.18,2024,1,2024H1,9,Kilkenny,Leinster,Kilkenny,Kilkenny,All property types,All bedrooms,,False,False,True
1073.54,2024,1,2024H1,9,Laois,Leinster,Laois,Laois,All property types,All bedrooms,,False,False,True
857.2,2024,1,2024H1,9,Leitrim,Connacht,Leitrim,Leitrim,All property types,All bedrooms,,False,False,True
1346.61,2024,1,2024H1,9,Limerick,Munster,Limerick,Limerick,All property types,All bedrooms,,False,False,True
972.42,2024,1,2024H1,9,Longford,Leinster,Longford,Longford,All property types,All bedrooms,,False,False,True
1296.76,2024,1,2024H1,9,Louth,Leinster,Louth,Louth,All property types,All bedrooms,,False,False,True
973.57,2024,1,2024H1,9,Mayo,Connacht,Mayo,Mayo,All property types,All bedrooms,,False,False,True
1418.14,2024,1,2024H1,9,Meath,Leinster,Meath,Meath,All property types,All bedrooms,,False,False,True
902.65,2024,1,2024H1,9,Monaghan,Ulster,Monaghan,Monaghan,All property types,All bedrooms,,False,False,True
1066.55,2024,1,2024H1,9,Offaly,Leinster,Offaly,Offaly,All property types,All bedrooms,,False,False,True
977.36,2024,1,2024H1,9,Roscommon,Connacht,Roscommon,Roscommon,All property types,All bedrooms,,False,False,True
1013.33,2024,1,2024H1,9,Sligo,Connacht,Sligo,Sligo,All property types,All bedrooms,,False,False,True
946.24,2024,1,2024H1,9,Tipperary,Munster,Tipperary,Tipperary,All property types,All bedrooms,,False,False,True
1076.36,2024,1,2024H1,9,Waterford,Munster,Waterford,Waterford,All property types,All bedrooms,,False,False,True
1136.66,2024,1,2024H1,9,Westmeath,Leinster,Westmeath,Westmeath,All property types,All bedrooms,,False,False,True
1078.46,2024,1,2024H1,9,Wexford,Leinster,Wexford,Wexford,All property types,All bedrooms,,False,False,True
1567.86,2024,1,2024H1,9,Wicklow,Leinster,Wicklow,Wicklow,All property types,All bedrooms,,False,False,True
1222.57,2024,2,2024H2,10,Carlow,Leinster,Carlow,Carlow,All property types,All bedrooms,,False,False,True
1011.76,2024,2,2024H2,10,Cavan,Ulster,Cavan,Cavan,All property types,All bedrooms,,False,False,True
1104.44,2024,2,2024H2,10,Clare,Munster,Clare,Clare,All property types,All bedrooms,,False,False,True
1447.81,2024,2,2024H2,10,Cork,Munster,Cork,Cork,All property types,All bedrooms,,False,False,True
918.59,2024,2,2024H2,10,Donegal,Ulster,Donegal,Donegal,All property types,All bedrooms,,False,False,True
2091.01,2024,2,2024H2,10,Dublin,Leinster,Dublin,Dublin,All property types,All bedrooms,,True,True,True
1537.18,2024,2,2024H2,10,Galway,Connacht,Galway,Galway,All property types,All bedrooms,,False,False,True
1115.76,2024,2,2024H2,10,Kerry,Munster,Kerry,Kerry,All property types,All bedrooms,,False,False,True
1627.4,2024,2,2024H2,10,Kildare,Leinster,Kildare,Kildare,All property types,All bedrooms,,False,False,True
1148.99,2024,2,2024H2,10,Kilkenny,Leinster,Kilkenny,Kilkenny,All property types,All bedrooms,,False,False,True
1137.03,2024,2,2024H2,10,Laois,Leinster,Laois,Laois,All property types,All bedrooms,,False,False,True
930.25,2024,2,2024H2,10,Leitrim,Connacht,Leitrim,Leitrim,All property types,All bedrooms,,False,False,True
1477.86,2024,2,2024H2,10,Limerick,Munster,Limerick,Limerick,All property types,All bedrooms,,False,False,True
1037.26,2024,2,2024H2,10,Longford,Leinster,Longford,Longford,All property types,All bedrooms,,False,False,True
1343.43,2024,2,2024H2,10,Louth,Leinster,Louth,Louth,All property types,All bedrooms,,False,False,True
1023.51,2024,2,2024H2,10,Mayo,Connacht,Mayo,Mayo,All property types,All bedrooms,,False,False,True
1460.81,2024,2,2024H2,10,Meath,Leinster,Meath,Meath,All property types,All bedrooms,,False,False,True
936.51,2024,2,2024H2,10,Monaghan,Ulster,Monaghan,Monaghan,All property types,All bedrooms,,False,False,True
1123.73,2024,2,2024H2,10,Offaly,Leinster,Offaly,Offaly,All property types,All bedrooms,,False,False,True
